sender_id,count
106277503.0,2
106297732.0,468
1063021597.0,2
1063430640.0,2
10635192.0,1
106356701.0,6
10636492.0,17
1063808245.0,2
106399987.0,1
1064351761.0,1
1064520318.0,1
106453518.0,8
106469356.0,9
106500088.0,1
106505709.0,2
106542704.0,6
106571088.0,6
106587937.0,1
1066882513.0,13
106694087.0,2
1067040230.0,2
1067286439.0,1
10678032.0,1
106784142.0,1
106801143.0,1
106816335.0,2
106822541.0,4
106838995.0,3
106840587.0,6
1068497250.0,1
106853899.0,12
1068733952.0,6
1069165856.0,1
1069167709.0,7
1069352264.0,13
1069399375.0,9
106953243.0,6
1069611313.0,1
106966197.0,30
1069678837.0,28
1069935848.0,2
107051370.0,2
1070843282.0,1
1071202081.0,5
107127884.0,1
107140999.0,14
107168217.0,1
107170197.0,1
10718162.0,2
1071965492.0,13
107196702.0,2
1072603094.0,2
107336886.0,17
107339352.0,4
1073461.0,2
107426885.0,2
107440457.0,24
107442049.0,8
1074704082.0,1
10750902.0,9
107544658.0,9
107557621.0,1
1075580520.0,11
107572571.0,4
107586950.0,1
1077121820.0,9
1077326798.0,4
107767038.0,6
1077816338.0,1
1077994998.0,3
1078036290.0,4
107809134.0,6
1078211665.0,1
10786622.0,1
107911432.0,1
10796522.0,23
10797882.0,5
107994799.0,1
108053276.0,1
108056482.0,1
108076940.0,5
108084832.0,1
1081229125.0,1
1081295244.0,2
10813652.0,1
108145369.0,5
108155311.0,1
1081581961.0,1
108180977.0,7
108209720.0,9
108234849.0,18
1082984618.0,2
108345097.0,1
108359851.0,1
10836032.0,10
1083615474.0,3
108366849.0,1
1084086576.0,61
108423098.0,1
108428608.0,6
1084542907.0,3
1084581757.0,1
108466928.0,5
108469040.0,61
108478673.0,1
1084841.0,7
10849.0,14
108528484.0,5
10860762.0,1
108635639.0,15
108692315.0,7
108699194.0,2
108714519.0,2
108726910.0,1
108736762.0,1
108743075.0,2
1087639640.0,1
1087663273.0,1
108766785.0,1
1087727564.0,2
108782137.0,1
108802744.0,2
108806294.0,1
1088092122.0,2
108814997.0,1
108817569.0,4
108865108.0,2
1088853054.0,1
109015982.0,3
1090295448.0,7
109077824.0,112
1090819352.0,9
1090845806.0,43
1090966956.0,7
109105328.0,1
109118750.0,13
1091275410.0,7
109138431.0,1
109177414.0,13
109187903.0,8
109228830.0,1
109292447.0,3
10929352.0,1
1093014794.0,20
109329669.0,7
109382058.0,1
10941732.0,1
1094183220.0,36
1094239549.0,5
109456840.0,1
109459205.0,1
109467482.0,12
109515878.0,1
10952642.0,4
1095294324.0,4
109606851.0,61
1096120632.0,43
109633540.0,2
1096509360.0,13
109668325.0,10
1096751564.0,33
1096792022.0,1
1096849964.0,2
1096901875.0,4
109741336.0,5
109745863.0,3
10983432.0,20
109920282.0,1
1099406893.0,1
109940740.0,1
1099430246.0,4
1099463611.0,1
1099522200.0,1
1099696026.0,2
1099716896.0,1
109982731.0,1
110103608.0,2
110157011.0,13
1101657494.0,5
110169381.0,11
1101787752.0,2
110189578.0,1
1102084393.0,6
110210396.0,1
110289526.0,2
110300913.0,221
110381873.0,1
110453808.0,4
110465138.0,1
1105130474.0,1
110588115.0,61
110589075.0,1
110611343.0,11
110614478.0,1
1106339672.0,2
1106481524.0,61
1106502511.0,2
1106539735.0,19
1106658061.0,8
1106801.0,1
110714392.0,5
1107346610.0,87
1107369248.0,1
110753716.0,3
110789378.0,4
110790365.0,1
110823121.0,1
1108532282.0,1
11086372.0,2
110865549.0,5
1108929054.0,4
110912002.0,2
110921058.0,2
110938362.0,3
11098142.0,1
1110232110.0,2
1110483529.0,8
1110642024.0,15
1110740096.0,4
111076108.0,9
111089324.0,6
111099425.0,1
111101139.0,2
111108215.0,5
111159846.0,1
111179238.0,15
111183988.0,5
111190976.0,2
111192870.0,5
111198502.0,3
1112421632.0,2
111251756.0,5
111300351.0,1
1113138086.0,3
11132502.0,1
111393599.0,3
11139522.0,7
1113984782.0,1
111414830.0,1
111443869.0,1
1114567063.0,11
11146862.0,1
111468771.0,1
111485177.0,15
111497519.0,9
111498940.0,2
11152512.0,3
1115426804.0,1
1115519022.0,80
1115910200.0,1
111661469.0,2
111663204.0,1
1116940663.0,3
111697547.0,1
111700161.0,1
111703656.0,2
1117197648.0,2
1117370341.0,1
1117493677.0,1
1117541.0,6
111765059.0,1
1117755271.0,14
1118351707.0,6
111920172.0,1
111934267.0,2
111973882.0,4
111974813.0,3
111985700.0,10
1120404774.0,4
1120598642.0,3
1120599374.0,19
112064706.0,1
1120785356.0,1
1120969357.0,2
1120974680.0,1
112115437.0,2
1121253560.0,44
1122532508.0,26
1122534666.0,2
11226902.0,1
112270385.0,2
1122998641.0,12
112315372.0,10
112318170.0,1
1123448196.0,112
112456289.0,18
112511920.0,4
112514308.0,1
112531583.0,50
1125318426.0,4
